definition,configuration,model,reasoning,measure,what it compares,cases,value,95% CI low,95% CI high,interval
primary: modal disposal (v8 10.4),gemini,gemini-3.6-flash,medium,W_de,rewording via German: Greek half against BT-de,10,0.0995,0.0177228545,0.4035809182,"Wilson, n = cases"
primary: modal disposal (v8 10.4),gemini,gemini-3.6-flash,medium,L_DE,German language: Greek half against DE-lit,10,0.0995,0.0177228545,0.4035809182,"Wilson, n = cases"
primary: modal disposal (v8 10.4),gemini,gemini-3.6-flash,medium,delta_EN,estimand RQ1: L_EN - W_en,10,0.0,0.0,0.0,"paired bootstrap over cases, 10,000 resamples"
primary: modal disposal (v8 10.4),gemini,gemini-3.6-flash,medium,delta_DE,German analogue: L_DE - W_de,10,0.0,0.0,0.0,"paired bootstrap over cases, 10,000 resamples"
primary: modal disposal (v8 10.4),gemini,gemini-3.6-flash,medium,L_EN_minus_F,L_EN - F,10,-0.0005,-0.0015,0.0,"paired bootstrap over cases, 10,000 resamples"
secondary: strict majority (v8 10.4),terra,gpt-5.6-terra,medium,F,noise floor: Greek half against Greek half,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
secondary: strict majority (v8 10.4),terra,gpt-5.6-terra,medium,W_en,rewording via English: Greek half against BT-en,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
secondary: strict majority (v8 10.4),terra,gpt-5.6-terra,medium,L_EN,language: Greek half against EN,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
secondary: strict majority (v8 10.4),terra,gpt-5.6-terra,medium,W_de,rewording via German: Greek half against BT-de,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
secondary: strict majority (v8 10.4),terra,gpt-5.6-terra,medium,L_DE,German language: Greek half against DE-lit,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
secondary: strict majority (v8 10.4),terra,gpt-5.6-terra,medium,delta_EN,estimand RQ1: L_EN - W_en,10,0.0,0.0,0.0,"paired bootstrap over cases, 10,000 resamples"
secondary: strict majority (v8 10.4),terra,gpt-5.6-terra,medium,delta_DE,German analogue: L_DE - W_de,10,0.0,0.0,0.0,"paired bootstrap over cases, 10,000 resamples"
secondary: strict majority (v8 10.4),terra,gpt-5.6-terra,medium,L_EN_minus_F,L_EN - F,10,0.0,0.0,0.0,"paired bootstrap over cases, 10,000 resamples"
secondary: strict majority (v8 10.4),terra-off,gpt-5.6-terra,none,F,noise floor: Greek half against Greek half,10,0.0025,1.60617e-05,0.2811290741,"Wilson, n = cases"
secondary: strict majority (v8 10.4),terra-off,gpt-5.6-terra,none,W_en,rewording via English: Greek half against BT-en,10,0.00125,4.0412e-06,0.2793349266,"Wilson, n = cases"
secondary: strict majority (v8 10.4),terra-off,gpt-5.6-terra,none,L_EN,language: Greek half against EN,10,0.00125,4.0412e-06,0.2793349266,"Wilson, n = cases"
secondary: strict majority (v8 10.4),terra-off,gpt-5.6-terra,none,W_de,rewording via German: Greek half against BT-de,10,0.00125,4.0412e-06,0.2793349266,"Wilson, n = cases"
secondary: strict majority (v8 10.4),terra-off,gpt-5.6-terra,none,L_DE,German language: Greek half against DE-lit,10,0.09875,0.0174937252,0.4027263466,"Wilson, n = cases"
secondary: strict majority (v8 10.4),terra-off,gpt-5.6-terra,none,delta_EN,estimand RQ1: L_EN - W_en,10,0.0,0.0,0.0,"paired bootstrap over cases, 10,000 resamples"
secondary: strict majority (v8 10.4),terra-off,gpt-5.6-terra,none,delta_DE,German analogue: L_DE - W_de,10,0.0975,0.0,0.2925,"paired bootstrap over cases, 10,000 resamples"
secondary: strict majority (v8 10.4),terra-off,gpt-5.6-terra,none,L_EN_minus_F,L_EN - F,10,-0.00125,-0.00375,0.0,"paired bootstrap over cases, 10,000 resamples"
secondary: strict majority (v8 10.4),sonnet,claude-sonnet-5,medium,F,noise floor: Greek half against Greek half,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
secondary: strict majority (v8 10.4),sonnet,claude-sonnet-5,medium,W_en,rewording via English: Greek half against BT-en,10,0.2,0.0566821515,0.5098375285,"Wilson, n = cases"
secondary: strict majority (v8 10.4),sonnet,claude-sonnet-5,medium,L_EN,language: Greek half against EN,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
secondary: strict majority (v8 10.4),sonnet,claude-sonnet-5,medium,W_de,rewording via German: Greek half against BT-de,10,0.1,0.0178762131,0.4041500268,"Wilson, n = cases"
secondary: strict majority (v8 10.4),sonnet,claude-sonnet-5,medium,L_DE,German language: Greek half against DE-lit,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
secondary: strict majority (v8 10.4),sonnet,claude-sonnet-5,medium,delta_EN,estimand RQ1: L_EN - W_en,10,-0.2,-0.5,0.0,"paired bootstrap over cases, 10,000 resamples"
secondary: strict majority (v8 10.4),sonnet,claude-sonnet-5,medium,delta_DE,German analogue: L_DE - W_de,10,-0.1,-0.3,0.0,"paired bootstrap over cases, 10,000 resamples"
secondary: strict majority (v8 10.4),sonnet,claude-sonnet-5,medium,L_EN_minus_F,L_EN - F,10,0.0,0.0,0.0,"paired bootstrap over cases, 10,000 resamples"
secondary: strict majority (v8 10.4),gemini,gemini-3.6-flash,medium,F,noise floor: Greek half against Greek half,10,0.001,2.5897e-06,0.2789751445,"Wilson, n = cases"
secondary: strict majority (v8 10.4),gemini,gemini-3.6-flash,medium,W_en,rewording via English: Greek half against BT-en,10,0.0005,6.491e-07,0.278254618,"Wilson, n = cases"
secondary: strict majority (v8 10.4),gemini,gemini-3.6-flash,medium,L_EN,language: Greek half against EN,10,0.0005,6.491e-07,0.278254618,"Wilson, n = cases"
secondary: strict majority (v8 10.4),gemini,gemini-3.6-flash,medium,W_de,rewording via German: Greek half against BT-de,10,0.0995,0.0177228545,0.4035809182,"Wilson, n = cases"
secondary: strict majority (v8 10.4),gemini,gemini-3.6-flash,medium,L_DE,German language: Greek half against DE-lit,10,0.0995,0.0177228545,0.4035809182,"Wilson, n = cases"
secondary: strict majority (v8 10.4),gemini,gemini-3.6-flash,medium,delta_EN,estimand RQ1: L_EN - W_en,10,0.0,0.0,0.0,"paired bootstrap over cases, 10,000 resamples"
secondary: strict majority (v8 10.4),gemini,gemini-3.6-flash,medium,delta_DE,German analogue: L_DE - W_de,10,0.0,0.0,0.0,"paired bootstrap over cases, 10,000 resamples"
secondary: strict majority (v8 10.4),gemini,gemini-3.6-flash,medium,L_EN_minus_F,L_EN - F,10,-0.0005,-0.0015,0.0,"paired bootstrap over cases, 10,000 resamples"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),terra,gpt-5.6-terra,medium,F,noise floor: Greek half against Greek half,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),terra,gpt-5.6-terra,medium,W_en,rewording via English: Greek half against BT-en,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),terra,gpt-5.6-terra,medium,L_EN,language: Greek half against EN,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),terra,gpt-5.6-terra,medium,W_de,rewording via German: Greek half against BT-de,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),terra,gpt-5.6-terra,medium,L_DE,German language: Greek half against DE-lit,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),terra,gpt-5.6-terra,medium,delta_EN,estimand RQ1: L_EN - W_en,10,0.0,0.0,0.0,"paired bootstrap over cases, 10,000 resamples"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),terra,gpt-5.6-terra,medium,delta_DE,German analogue: L_DE - W_de,10,0.0,0.0,0.0,"paired bootstrap over cases, 10,000 resamples"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),terra,gpt-5.6-terra,medium,L_EN_minus_F,L_EN - F,10,0.0,0.0,0.0,"paired bootstrap over cases, 10,000 resamples"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),terra-off,gpt-5.6-terra,none,F,noise floor: Greek half against Greek half,10,0.0025,1.60617e-05,0.2811290741,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),terra-off,gpt-5.6-terra,none,W_en,rewording via English: Greek half against BT-en,10,0.00125,4.0412e-06,0.2793349266,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),terra-off,gpt-5.6-terra,none,L_EN,language: Greek half against EN,10,0.00125,4.0412e-06,0.2793349266,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),terra-off,gpt-5.6-terra,none,W_de,rewording via German: Greek half against BT-de,10,0.00125,4.0412e-06,0.2793349266,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),terra-off,gpt-5.6-terra,none,L_DE,German language: Greek half against DE-lit,10,0.09875,0.0174937252,0.4027263466,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),terra-off,gpt-5.6-terra,none,delta_EN,estimand RQ1: L_EN - W_en,10,0.0,0.0,0.0,"paired bootstrap over cases, 10,000 resamples"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),terra-off,gpt-5.6-terra,none,delta_DE,German analogue: L_DE - W_de,10,0.0975,0.0,0.2925,"paired bootstrap over cases, 10,000 resamples"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),terra-off,gpt-5.6-terra,none,L_EN_minus_F,L_EN - F,10,-0.00125,-0.00375,0.0,"paired bootstrap over cases, 10,000 resamples"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),sonnet,claude-sonnet-5,medium,F,noise floor: Greek half against Greek half,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),sonnet,claude-sonnet-5,medium,W_en,rewording via English: Greek half against BT-en,10,0.2,0.0566821515,0.5098375285,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),sonnet,claude-sonnet-5,medium,L_EN,language: Greek half against EN,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),sonnet,claude-sonnet-5,medium,W_de,rewording via German: Greek half against BT-de,10,0.1,0.0178762131,0.4041500268,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),sonnet,claude-sonnet-5,medium,L_DE,German language: Greek half against DE-lit,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),sonnet,claude-sonnet-5,medium,delta_EN,estimand RQ1: L_EN - W_en,10,-0.2,-0.5,0.0,"paired bootstrap over cases, 10,000 resamples"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),sonnet,claude-sonnet-5,medium,delta_DE,German analogue: L_DE - W_de,10,-0.1,-0.3,0.0,"paired bootstrap over cases, 10,000 resamples"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),sonnet,claude-sonnet-5,medium,L_EN_minus_F,L_EN - F,10,0.0,0.0,0.0,"paired bootstrap over cases, 10,000 resamples"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),gemini,gemini-3.6-flash,medium,F,noise floor: Greek half against Greek half,10,0.001,2.5897e-06,0.2789751445,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),gemini,gemini-3.6-flash,medium,W_en,rewording via English: Greek half against BT-en,10,0.0005,6.491e-07,0.278254618,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),gemini,gemini-3.6-flash,medium,L_EN,language: Greek half against EN,10,0.0005,6.491e-07,0.278254618,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),gemini,gemini-3.6-flash,medium,W_de,rewording via German: Greek half against BT-de,10,0.0995,0.0177228545,0.4035809182,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),gemini,gemini-3.6-flash,medium,L_DE,German language: Greek half against DE-lit,10,0.0995,0.0177228545,0.4035809182,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),gemini,gemini-3.6-flash,medium,delta_EN,estimand RQ1: L_EN - W_en,10,0.0,0.0,0.0,"paired bootstrap over cases, 10,000 resamples"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),gemini,gemini-3.6-flash,medium,delta_DE,German analogue: L_DE - W_de,10,0.0,0.0,0.0,"paired bootstrap over cases, 10,000 resamples"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),gemini,gemini-3.6-flash,medium,L_EN_minus_F,L_EN - F,10,-0.0005,-0.0015,0.0,"paired bootstrap over cases, 10,000 resamples"
check: failed draws counted as a category of their own (v8 14),terra,gpt-5.6-terra,medium,F,noise floor: Greek half against Greek half,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),terra,gpt-5.6-terra,medium,W_en,rewording via English: Greek half against BT-en,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),terra,gpt-5.6-terra,medium,L_EN,language: Greek half against EN,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),terra,gpt-5.6-terra,medium,W_de,rewording via German: Greek half against BT-de,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),terra,gpt-5.6-terra,medium,L_DE,German language: Greek half against DE-lit,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),terra,gpt-5.6-terra,medium,delta_EN,estimand RQ1: L_EN - W_en,10,0.0,0.0,0.0,"paired bootstrap over cases, 10,000 resamples"
check: failed draws counted as a category of their own (v8 14),terra,gpt-5.6-terra,medium,delta_DE,German analogue: L_DE - W_de,10,0.0,0.0,0.0,"paired bootstrap over cases, 10,000 resamples"
check: failed draws counted as a category of their own (v8 14),terra,gpt-5.6-terra,medium,L_EN_minus_F,L_EN - F,10,0.0,0.0,0.0,"paired bootstrap over cases, 10,000 resamples"
check: failed draws counted as a category of their own (v8 14),terra-off,gpt-5.6-terra,none,F,noise floor: Greek half against Greek half,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),terra-off,gpt-5.6-terra,none,W_en,rewording via English: Greek half against BT-en,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),terra-off,gpt-5.6-terra,none,L_EN,language: Greek half against EN,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),terra-off,gpt-5.6-terra,none,W_de,rewording via German: Greek half against BT-de,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),terra-off,gpt-5.6-terra,none,L_DE,German language: Greek half against DE-lit,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),terra-off,gpt-5.6-terra,none,delta_EN,estimand RQ1: L_EN - W_en,10,0.0,0.0,0.0,"paired bootstrap over cases, 10,000 resamples"
check: failed draws counted as a category of their own (v8 14),terra-off,gpt-5.6-terra,none,delta_DE,German analogue: L_DE - W_de,10,0.0,0.0,0.0,"paired bootstrap over cases, 10,000 resamples"
check: failed draws counted as a category of their own (v8 14),terra-off,gpt-5.6-terra,none,L_EN_minus_F,L_EN - F,10,0.0,0.0,0.0,"paired bootstrap over cases, 10,000 resamples"
check: failed draws counted as a category of their own (v8 14),sonnet,claude-sonnet-5,medium,F,noise floor: Greek half against Greek half,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),sonnet,claude-sonnet-5,medium,W_en,rewording via English: Greek half against BT-en,10,0.2,0.0566821515,0.5098375285,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),sonnet,claude-sonnet-5,medium,L_EN,language: Greek half against EN,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),sonnet,claude-sonnet-5,medium,W_de,rewording via German: Greek half against BT-de,10,0.1,0.0178762131,0.4041500268,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),sonnet,claude-sonnet-5,medium,L_DE,German language: Greek half against DE-lit,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),sonnet,claude-sonnet-5,medium,delta_EN,estimand RQ1: L_EN - W_en,10,-0.2,-0.5,0.0,"paired bootstrap over cases, 10,000 resamples"
check: failed draws counted as a category of their own (v8 14),sonnet,claude-sonnet-5,medium,delta_DE,German analogue: L_DE - W_de,10,-0.1,-0.3,0.0,"paired bootstrap over cases, 10,000 resamples"
check: failed draws counted as a category of their own (v8 14),sonnet,claude-sonnet-5,medium,L_EN_minus_F,L_EN - F,10,0.0,0.0,0.0,"paired bootstrap over cases, 10,000 resamples"
check: failed draws counted as a category of their own (v8 14),gemini,gemini-3.6-flash,medium,F,noise floor: Greek half against Greek half,10,0.001,2.5897e-06,0.2789751445,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),gemini,gemini-3.6-flash,medium,W_en,rewording via English: Greek half against BT-en,10,0.0005,6.491e-07,0.278254618,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),gemini,gemini-3.6-flash,medium,L_EN,language: Greek half against EN,10,0.0005,6.491e-07,0.278254618,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),gemini,gemini-3.6-flash,medium,W_de,rewording via German: Greek half against BT-de,10,0.0995,0.0177228545,0.4035809182,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),gemini,gemini-3.6-flash,medium,L_DE,German language: Greek half against DE-lit,10,0.0995,0.0177228545,0.4035809182,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),gemini,gemini-3.6-flash,medium,delta_EN,estimand RQ1: L_EN - W_en,10,0.0,0.0,0.0,"paired bootstrap over cases, 10,000 resamples"
check: failed draws counted as a category of their own (v8 14),gemini,gemini-3.6-flash,medium,delta_DE,German analogue: L_DE - W_de,10,0.0,0.0,0.0,"paired bootstrap over cases, 10,000 resamples"
check: failed draws counted as a category of their own (v8 14),gemini,gemini-3.6-flash,medium,L_EN_minus_F,L_EN - F,10,-0.0005,-0.0015,0.0,"paired bootstrap over cases, 10,000 resamples"
