definition,configuration,model,reasoning,measure,what it compares,cases,value,95% CI low,95% CI high,interval
primary: modal disposal (v8 10.4),gemini,gemini-3.6-flash,medium,delta_DE,German analogue: L_DE - W_de,10,,,,"paired bootstrap over cases, 10,000 resamples"
primary: modal disposal (v8 10.4),gemini,gemini-3.6-flash,medium,L_EN_minus_F,L_EN - F,10,-0.00675,-0.02025,0.0,"paired bootstrap over cases, 10,000 resamples"
secondary: strict majority (v8 10.4),terra,gpt-5.6-terra,medium,F,noise floor: Greek half against Greek half,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
secondary: strict majority (v8 10.4),terra,gpt-5.6-terra,medium,W_en,rewording via English: Greek half against BT-en,10,,,,"Wilson, n = cases"
secondary: strict majority (v8 10.4),terra,gpt-5.6-terra,medium,L_EN,language: Greek half against EN,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
secondary: strict majority (v8 10.4),terra,gpt-5.6-terra,medium,W_de,rewording via German: Greek half against BT-de,10,,,,"Wilson, n = cases"
secondary: strict majority (v8 10.4),terra,gpt-5.6-terra,medium,L_DE,German language: Greek half against DE-lit,10,,,,"Wilson, n = cases"
secondary: strict majority (v8 10.4),terra,gpt-5.6-terra,medium,delta_EN,estimand RQ1: L_EN - W_en,10,,,,"paired bootstrap over cases, 10,000 resamples"
secondary: strict majority (v8 10.4),terra,gpt-5.6-terra,medium,delta_DE,German analogue: L_DE - W_de,10,,,,"paired bootstrap over cases, 10,000 resamples"
secondary: strict majority (v8 10.4),terra,gpt-5.6-terra,medium,L_EN_minus_F,L_EN - F,10,0.0,0.0,0.0,"paired bootstrap over cases, 10,000 resamples"
secondary: strict majority (v8 10.4),terra-off,gpt-5.6-terra,none,F,noise floor: Greek half against Greek half,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
secondary: strict majority (v8 10.4),terra-off,gpt-5.6-terra,none,W_en,rewording via English: Greek half against BT-en,10,,,,"Wilson, n = cases"
secondary: strict majority (v8 10.4),terra-off,gpt-5.6-terra,none,L_EN,language: Greek half against EN,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
secondary: strict majority (v8 10.4),terra-off,gpt-5.6-terra,none,W_de,rewording via German: Greek half against BT-de,10,,,,"Wilson, n = cases"
secondary: strict majority (v8 10.4),terra-off,gpt-5.6-terra,none,L_DE,German language: Greek half against DE-lit,10,,,,"Wilson, n = cases"
secondary: strict majority (v8 10.4),terra-off,gpt-5.6-terra,none,delta_EN,estimand RQ1: L_EN - W_en,10,,,,"paired bootstrap over cases, 10,000 resamples"
secondary: strict majority (v8 10.4),terra-off,gpt-5.6-terra,none,delta_DE,German analogue: L_DE - W_de,10,,,,"paired bootstrap over cases, 10,000 resamples"
secondary: strict majority (v8 10.4),terra-off,gpt-5.6-terra,none,L_EN_minus_F,L_EN - F,10,0.0,0.0,0.0,"paired bootstrap over cases, 10,000 resamples"
secondary: strict majority (v8 10.4),sonnet,claude-sonnet-5,medium,F,noise floor: Greek half against Greek half,10,0.177,0.0464968592,0.4867893295,"Wilson, n = cases"
secondary: strict majority (v8 10.4),sonnet,claude-sonnet-5,medium,W_en,rewording via English: Greek half against BT-en,10,,,,"Wilson, n = cases"
secondary: strict majority (v8 10.4),sonnet,claude-sonnet-5,medium,L_EN,language: Greek half against EN,10,0.3315,0.1258948711,0.6306336824,"Wilson, n = cases"
secondary: strict majority (v8 10.4),sonnet,claude-sonnet-5,medium,W_de,rewording via German: Greek half against BT-de,10,,,,"Wilson, n = cases"
secondary: strict majority (v8 10.4),sonnet,claude-sonnet-5,medium,L_DE,German language: Greek half against DE-lit,10,,,,"Wilson, n = cases"
secondary: strict majority (v8 10.4),sonnet,claude-sonnet-5,medium,delta_EN,estimand RQ1: L_EN - W_en,10,,,,"paired bootstrap over cases, 10,000 resamples"
secondary: strict majority (v8 10.4),sonnet,claude-sonnet-5,medium,delta_DE,German analogue: L_DE - W_de,10,,,,"paired bootstrap over cases, 10,000 resamples"
secondary: strict majority (v8 10.4),sonnet,claude-sonnet-5,medium,L_EN_minus_F,L_EN - F,10,0.1545,-0.08425,0.45025,"paired bootstrap over cases, 10,000 resamples"
secondary: strict majority (v8 10.4),gemini,gemini-3.6-flash,medium,F,noise floor: Greek half against Greek half,10,0.0135,0.0004439368,0.2965954775,"Wilson, n = cases"
secondary: strict majority (v8 10.4),gemini,gemini-3.6-flash,medium,W_en,rewording via English: Greek half against BT-en,10,,,,"Wilson, n = cases"
secondary: strict majority (v8 10.4),gemini,gemini-3.6-flash,medium,L_EN,language: Greek half against EN,10,0.00675,0.0001146263,0.2871714807,"Wilson, n = cases"
secondary: strict majority (v8 10.4),gemini,gemini-3.6-flash,medium,W_de,rewording via German: Greek half against BT-de,10,,,,"Wilson, n = cases"
secondary: strict majority (v8 10.4),gemini,gemini-3.6-flash,medium,L_DE,German language: Greek half against DE-lit,10,,,,"Wilson, n = cases"
secondary: strict majority (v8 10.4),gemini,gemini-3.6-flash,medium,delta_EN,estimand RQ1: L_EN - W_en,10,,,,"paired bootstrap over cases, 10,000 resamples"
secondary: strict majority (v8 10.4),gemini,gemini-3.6-flash,medium,delta_DE,German analogue: L_DE - W_de,10,,,,"paired bootstrap over cases, 10,000 resamples"
secondary: strict majority (v8 10.4),gemini,gemini-3.6-flash,medium,L_EN_minus_F,L_EN - F,10,-0.00675,-0.02025,0.0,"paired bootstrap over cases, 10,000 resamples"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),terra,gpt-5.6-terra,medium,F,noise floor: Greek half against Greek half,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),terra,gpt-5.6-terra,medium,W_en,rewording via English: Greek half against BT-en,10,,,,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),terra,gpt-5.6-terra,medium,L_EN,language: Greek half against EN,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),terra,gpt-5.6-terra,medium,W_de,rewording via German: Greek half against BT-de,10,,,,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),terra,gpt-5.6-terra,medium,L_DE,German language: Greek half against DE-lit,10,,,,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),terra,gpt-5.6-terra,medium,delta_EN,estimand RQ1: L_EN - W_en,10,,,,"paired bootstrap over cases, 10,000 resamples"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),terra,gpt-5.6-terra,medium,delta_DE,German analogue: L_DE - W_de,10,,,,"paired bootstrap over cases, 10,000 resamples"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),terra,gpt-5.6-terra,medium,L_EN_minus_F,L_EN - F,10,0.0,0.0,0.0,"paired bootstrap over cases, 10,000 resamples"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),terra-off,gpt-5.6-terra,none,F,noise floor: Greek half against Greek half,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),terra-off,gpt-5.6-terra,none,W_en,rewording via English: Greek half against BT-en,10,,,,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),terra-off,gpt-5.6-terra,none,L_EN,language: Greek half against EN,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),terra-off,gpt-5.6-terra,none,W_de,rewording via German: Greek half against BT-de,10,,,,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),terra-off,gpt-5.6-terra,none,L_DE,German language: Greek half against DE-lit,10,,,,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),terra-off,gpt-5.6-terra,none,delta_EN,estimand RQ1: L_EN - W_en,10,,,,"paired bootstrap over cases, 10,000 resamples"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),terra-off,gpt-5.6-terra,none,delta_DE,German analogue: L_DE - W_de,10,,,,"paired bootstrap over cases, 10,000 resamples"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),terra-off,gpt-5.6-terra,none,L_EN_minus_F,L_EN - F,10,0.0,0.0,0.0,"paired bootstrap over cases, 10,000 resamples"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),sonnet,claude-sonnet-5,medium,F,noise floor: Greek half against Greek half,10,0.177,0.0464968592,0.4867893295,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),sonnet,claude-sonnet-5,medium,W_en,rewording via English: Greek half against BT-en,10,,,,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),sonnet,claude-sonnet-5,medium,L_EN,language: Greek half against EN,10,0.3315,0.1258948711,0.6306336824,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),sonnet,claude-sonnet-5,medium,W_de,rewording via German: Greek half against BT-de,10,,,,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),sonnet,claude-sonnet-5,medium,L_DE,German language: Greek half against DE-lit,10,,,,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),sonnet,claude-sonnet-5,medium,delta_EN,estimand RQ1: L_EN - W_en,10,,,,"paired bootstrap over cases, 10,000 resamples"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),sonnet,claude-sonnet-5,medium,delta_DE,German analogue: L_DE - W_de,10,,,,"paired bootstrap over cases, 10,000 resamples"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),sonnet,claude-sonnet-5,medium,L_EN_minus_F,L_EN - F,10,0.1545,-0.08425,0.45025,"paired bootstrap over cases, 10,000 resamples"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),gemini,gemini-3.6-flash,medium,F,noise floor: Greek half against Greek half,10,0.0135,0.0004439368,0.2965954775,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),gemini,gemini-3.6-flash,medium,W_en,rewording via English: Greek half against BT-en,10,,,,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),gemini,gemini-3.6-flash,medium,L_EN,language: Greek half against EN,10,0.00675,0.0001146263,0.2871714807,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),gemini,gemini-3.6-flash,medium,W_de,rewording via German: Greek half against BT-de,10,,,,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),gemini,gemini-3.6-flash,medium,L_DE,German language: Greek half against DE-lit,10,,,,"Wilson, n = cases"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),gemini,gemini-3.6-flash,medium,delta_EN,estimand RQ1: L_EN - W_en,10,,,,"paired bootstrap over cases, 10,000 resamples"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),gemini,gemini-3.6-flash,medium,delta_DE,German analogue: L_DE - W_de,10,,,,"paired bootstrap over cases, 10,000 resamples"
secondary: relief (options 1-2) against none (3-4) (v8 10.4),gemini,gemini-3.6-flash,medium,L_EN_minus_F,L_EN - F,10,-0.00675,-0.02025,0.0,"paired bootstrap over cases, 10,000 resamples"
check: failed draws counted as a category of their own (v8 14),terra,gpt-5.6-terra,medium,F,noise floor: Greek half against Greek half,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),terra,gpt-5.6-terra,medium,W_en,rewording via English: Greek half against BT-en,10,,,,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),terra,gpt-5.6-terra,medium,L_EN,language: Greek half against EN,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),terra,gpt-5.6-terra,medium,W_de,rewording via German: Greek half against BT-de,10,,,,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),terra,gpt-5.6-terra,medium,L_DE,German language: Greek half against DE-lit,10,,,,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),terra,gpt-5.6-terra,medium,delta_EN,estimand RQ1: L_EN - W_en,10,,,,"paired bootstrap over cases, 10,000 resamples"
check: failed draws counted as a category of their own (v8 14),terra,gpt-5.6-terra,medium,delta_DE,German analogue: L_DE - W_de,10,,,,"paired bootstrap over cases, 10,000 resamples"
check: failed draws counted as a category of their own (v8 14),terra,gpt-5.6-terra,medium,L_EN_minus_F,L_EN - F,10,0.0,0.0,0.0,"paired bootstrap over cases, 10,000 resamples"
check: failed draws counted as a category of their own (v8 14),terra-off,gpt-5.6-terra,none,F,noise floor: Greek half against Greek half,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),terra-off,gpt-5.6-terra,none,W_en,rewording via English: Greek half against BT-en,10,,,,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),terra-off,gpt-5.6-terra,none,L_EN,language: Greek half against EN,10,0.0,0.0,0.2775327999,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),terra-off,gpt-5.6-terra,none,W_de,rewording via German: Greek half against BT-de,10,,,,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),terra-off,gpt-5.6-terra,none,L_DE,German language: Greek half against DE-lit,10,,,,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),terra-off,gpt-5.6-terra,none,delta_EN,estimand RQ1: L_EN - W_en,10,,,,"paired bootstrap over cases, 10,000 resamples"
check: failed draws counted as a category of their own (v8 14),terra-off,gpt-5.6-terra,none,delta_DE,German analogue: L_DE - W_de,10,,,,"paired bootstrap over cases, 10,000 resamples"
check: failed draws counted as a category of their own (v8 14),terra-off,gpt-5.6-terra,none,L_EN_minus_F,L_EN - F,10,0.0,0.0,0.0,"paired bootstrap over cases, 10,000 resamples"
check: failed draws counted as a category of their own (v8 14),sonnet,claude-sonnet-5,medium,F,noise floor: Greek half against Greek half,10,0.177,0.0464968592,0.4867893295,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),sonnet,claude-sonnet-5,medium,W_en,rewording via English: Greek half against BT-en,10,,,,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),sonnet,claude-sonnet-5,medium,L_EN,language: Greek half against EN,10,0.3315,0.1258948711,0.6306336824,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),sonnet,claude-sonnet-5,medium,W_de,rewording via German: Greek half against BT-de,10,,,,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),sonnet,claude-sonnet-5,medium,L_DE,German language: Greek half against DE-lit,10,,,,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),sonnet,claude-sonnet-5,medium,delta_EN,estimand RQ1: L_EN - W_en,10,,,,"paired bootstrap over cases, 10,000 resamples"
check: failed draws counted as a category of their own (v8 14),sonnet,claude-sonnet-5,medium,delta_DE,German analogue: L_DE - W_de,10,,,,"paired bootstrap over cases, 10,000 resamples"
check: failed draws counted as a category of their own (v8 14),sonnet,claude-sonnet-5,medium,L_EN_minus_F,L_EN - F,10,0.1545,-0.08425,0.45025,"paired bootstrap over cases, 10,000 resamples"
check: failed draws counted as a category of their own (v8 14),gemini,gemini-3.6-flash,medium,F,noise floor: Greek half against Greek half,10,0.0135,0.0004439368,0.2965954775,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),gemini,gemini-3.6-flash,medium,W_en,rewording via English: Greek half against BT-en,10,,,,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),gemini,gemini-3.6-flash,medium,L_EN,language: Greek half against EN,10,0.00675,0.0001146263,0.2871714807,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),gemini,gemini-3.6-flash,medium,W_de,rewording via German: Greek half against BT-de,10,,,,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),gemini,gemini-3.6-flash,medium,L_DE,German language: Greek half against DE-lit,10,,,,"Wilson, n = cases"
check: failed draws counted as a category of their own (v8 14),gemini,gemini-3.6-flash,medium,delta_EN,estimand RQ1: L_EN - W_en,10,,,,"paired bootstrap over cases, 10,000 resamples"
check: failed draws counted as a category of their own (v8 14),gemini,gemini-3.6-flash,medium,delta_DE,German analogue: L_DE - W_de,10,,,,"paired bootstrap over cases, 10,000 resamples"
check: failed draws counted as a category of their own (v8 14),gemini,gemini-3.6-flash,medium,L_EN_minus_F,L_EN - F,10,-0.00675,-0.02025,0.0,"paired bootstrap over cases, 10,000 resamples"
