configuration,model,reasoning,case,arm,k,valid draws used,option 1,option 2,option 3,option 4,modal,modal share,strict majority,grant share,ground 1,ground 2,ground 3,ground 4,ground 5,modal ground,failed draws
sonnet,claude-sonnet-5,medium,C1316,gr,30,30,0,8,22,0,3,0.7333333333,3,0.2666666667,22,8,0,0,0,1,none
sonnet,claude-sonnet-5,medium,C1387,gr,30,30,0,0,30,0,3,1.0,3,0.0,27,0,3,0,0,1,none
sonnet,claude-sonnet-5,medium,C1423,gr,30,30,0,29,1,0,2,0.9666666667,2,0.9666666667,28,0,2,0,0,1,none
sonnet,claude-sonnet-5,medium,C1460,gr,30,30,0,14,16,0,3,0.5333333333,3,0.4666666667,29,1,0,0,0,1,none
sonnet,claude-sonnet-5,medium,C1621,gr,30,30,0,0,30,0,3,1.0,3,0.0,16,0,14,0,0,1,none
sonnet,claude-sonnet-5,medium,C0990,en,15,15,0,0,15,0,3,1.0,3,0.0,15,0,0,0,0,1,none
sonnet,claude-sonnet-5,medium,C1026,en,15,15,0,0,15,0,3,1.0,3,0.0,15,0,0,0,0,1,none
sonnet,claude-sonnet-5,medium,C1099,en,15,15,0,0,15,0,3,1.0,3,0.0,14,1,0,0,0,1,none
sonnet,claude-sonnet-5,medium,C1195,en,15,15,0,0,15,0,3,1.0,3,0.0,12,0,3,0,0,1,none
sonnet,claude-sonnet-5,medium,C1292,en,15,15,0,0,15,0,3,1.0,3,0.0,6,5,3,1,0,1,none
sonnet,claude-sonnet-5,medium,C1316,en,15,15,0,0,15,0,3,1.0,3,0.0,7,4,4,0,0,1,none
sonnet,claude-sonnet-5,medium,C1387,en,15,15,0,0,15,0,3,1.0,3,0.0,5,0,10,0,0,3,none
sonnet,claude-sonnet-5,medium,C1423,en,15,15,0,4,11,0,3,0.7333333333,3,0.2666666667,15,0,0,0,0,1,none
sonnet,claude-sonnet-5,medium,C1460,en,15,15,0,2,13,0,3,0.8666666667,3,0.1333333333,13,1,1,0,0,1,none
sonnet,claude-sonnet-5,medium,C1621,en,15,15,0,0,15,0,3,1.0,3,0.0,3,0,12,0,0,3,none
gemini,gemini-3.6-flash,medium,C0990,gr,30,30,19,0,11,0,1,0.6333333333,1,0.6333333333,30,0,0,0,0,1,none
gemini,gemini-3.6-flash,medium,C1026,gr,30,30,0,0,30,0,3,1.0,3,0.0,30,0,0,0,0,1,none
gemini,gemini-3.6-flash,medium,C1099,gr,30,30,3,0,27,0,3,0.9,3,0.1,28,2,0,0,0,1,none
gemini,gemini-3.6-flash,medium,C1195,gr,30,30,0,1,29,0,3,0.9666666667,3,0.0333333333,30,0,0,0,0,1,none
gemini,gemini-3.6-flash,medium,C1292,gr,30,30,0,0,30,0,3,1.0,3,0.0,30,0,0,0,0,1,none
gemini,gemini-3.6-flash,medium,C1316,gr,30,30,0,0,30,0,3,1.0,3,0.0,30,0,0,0,0,1,none
gemini,gemini-3.6-flash,medium,C1387,gr,30,30,0,0,30,0,3,1.0,3,0.0,30,0,0,0,0,1,none
gemini,gemini-3.6-flash,medium,C1423,gr,30,30,0,0,30,0,3,1.0,3,0.0,30,0,0,0,0,1,none
gemini,gemini-3.6-flash,medium,C1460,gr,30,30,0,0,30,0,3,1.0,3,0.0,30,0,0,0,0,1,none
gemini,gemini-3.6-flash,medium,C1621,gr,30,30,0,0,30,0,3,1.0,3,0.0,30,0,0,0,0,1,none
gemini,gemini-3.6-flash,medium,C0990,en,15,15,9,0,6,0,1,0.6,1,0.6,15,0,0,0,0,1,none
gemini,gemini-3.6-flash,medium,C1026,en,15,15,0,0,15,0,3,1.0,3,0.0,15,0,0,0,0,1,none
gemini,gemini-3.6-flash,medium,C1099,en,15,15,0,0,15,0,3,1.0,3,0.0,15,0,0,0,0,1,none
gemini,gemini-3.6-flash,medium,C1195,en,15,15,0,2,13,0,3,0.8666666667,3,0.1333333333,15,0,0,0,0,1,none
gemini,gemini-3.6-flash,medium,C1292,en,15,15,0,0,15,0,3,1.0,3,0.0,15,0,0,0,0,1,none
gemini,gemini-3.6-flash,medium,C1316,en,15,15,0,0,15,0,3,1.0,3,0.0,15,0,0,0,0,1,none
gemini,gemini-3.6-flash,medium,C1387,en,15,15,0,0,15,0,3,1.0,3,0.0,15,0,0,0,0,1,none
gemini,gemini-3.6-flash,medium,C1423,en,15,15,0,0,15,0,3,1.0,3,0.0,15,0,0,0,0,1,none
gemini,gemini-3.6-flash,medium,C1460,en,15,15,0,0,15,0,3,1.0,3,0.0,15,0,0,0,0,1,none
gemini,gemini-3.6-flash,medium,C1621,en,15,15,0,0,15,0,3,1.0,3,0.0,15,0,0,0,0,1,none
